City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Smithers,CA,54.78,-127.17,42.8,60,75,5.82,broken clouds
215,Harrismith,ZA,-28.27,29.13,54.73,91,79,10.0,broken clouds
216,Vestmanna,FO,62.16,-7.17,48.2,100,100,14.99,mist
217,Vuktyl,RU,63.86,57.31,35.26,90,96,10.13,overcast clouds
218,Dicabisagan,PH,17.08,122.42,79.59,72,63,3.42,broken clouds
219,Banyo,CM,6.75,11.82,67.55,58,100,3.36,overcast clouds
220,Sahuaripa,MX,29.05,-109.23,90.7,15,76,9.69,broken clouds
221,Lebu,CL,-37.62,-73.65,51.82,76,0,21.72,clear sky
222,Acarau,BR,-2.89,-40.12,79.5,80,0,14.83,clear sky
223,Vilcun,CL,-38.65,-72.23,57.2,71,0,9.17,clear sky
224,Bandarbeyla,SO,9.49,50.81,73.15,68,21,5.79,few clouds
225,Namibe,AO,-15.2,12.15,69.69,65,21,8.95,few clouds
226,Nichinan,JP,31.6,131.37,60.8,77,75,8.05,broken clouds
227,Port Lincoln,AU,-34.73,135.87,55.15,60,99,7.67,overcast clouds
228,Cruzeiro Do Sul,BR,-29.51,-51.99,60.01,92,5,1.74,clear sky
229,Sabinas Hidalgo,MX,26.5,-100.17,69.06,60,0,4.43,clear sky
230,Prince Rupert,CA,54.32,-130.32,44.6,81,90,13.87,light rain
231,Tuatapere,NZ,-46.13,167.68,56.73,46,1,4.5,clear sky
232,Opuwo,NA,-18.06,13.84,66.43,24,0,8.37,clear sky
233,Thunder Bay,CA,48.4,-89.32,48.2,66,75,3.36,broken clouds
234,Naryan-Mar,RU,67.67,53.09,35.17,97,100,4.7,overcast clouds
235,Narsaq,GL,60.92,-46.05,14.0,56,0,2.24,clear sky
236,Puerto Escondido,MX,15.85,-97.07,84.2,66,75,3.36,broken clouds
237,Key West,US,24.56,-81.78,80.6,78,40,10.29,light rain
238,Kushiro,JP,42.98,144.37,50.0,53,75,6.93,broken clouds
239,Solnechnyy,RU,50.72,136.63,26.96,82,15,2.98,few clouds
240,Ural,RU,55.91,94.75,21.25,96,94,13.22,overcast clouds
241,Meulaboh,ID,4.14,96.13,77.16,87,66,4.79,broken clouds
242,Novozybkov,RU,52.54,31.93,42.8,87,90,11.18,overcast clouds
243,Malanje,AO,-9.54,16.34,65.46,98,98,4.99,overcast clouds
244,Makakilo City,US,21.35,-158.09,84.2,70,1,12.75,clear sky
245,Kalmunai,LK,7.42,81.82,79.09,77,44,0.74,scattered clouds
246,Bonavista,CA,48.65,-53.11,33.01,86,21,5.82,few clouds
247,Salvador,SV,13.83,-88.92,75.2,100,75,5.82,broken clouds
248,Shenjiamen,CN,29.96,122.3,67.71,87,13,3.36,few clouds
249,Ponnani,IN,10.77,75.93,75.2,94,75,2.24,mist
250,Georgetown,MY,5.41,100.34,78.8,88,20,2.24,few clouds
251,Alta Floresta,BR,-9.88,-56.09,80.01,58,80,3.47,broken clouds
252,Mende,FR,44.67,3.5,40.41,97,13,4.7,few clouds
253,Lethem,GY,3.38,-59.8,77.92,71,73,1.43,broken clouds
254,Sukhothai,TH,17.25,99.67,75.2,94,20,1.12,mist
255,Arraial Do Cabo,BR,-22.97,-42.03,68.0,88,75,6.93,broken clouds
256,Pisco,PE,-13.7,-76.22,66.2,82,20,16.11,few clouds
257,Guerrero,MX,17.67,-100.0,65.98,67,61,1.59,broken clouds
258,Pingliang,CN,35.54,106.69,40.1,62,91,6.42,overcast clouds
259,Fez,MA,34.04,-5.0,66.2,52,0,8.05,clear sky
260,Ostrovnoy,RU,68.05,39.51,36.41,94,100,4.14,light rain
261,Kaitangata,NZ,-46.28,169.85,55.99,63,47,7.0,scattered clouds
262,Evensk,RU,61.95,159.23,3.92,85,98,9.26,overcast clouds
263,Debre Zeyit,ET,8.75,38.98,53.96,54,0,4.21,clear sky
264,Eydhafushi,MV,5.1,73.07,82.78,71,99,6.64,overcast clouds
265,Sorland,NO,67.67,12.69,44.01,72,99,21.36,overcast clouds
266,Klaksvik,FO,62.23,-6.59,48.2,100,100,14.99,mist
267,Bethel,US,41.37,-73.41,59.0,67,1,5.82,clear sky
268,Victor Harbor,AU,-35.57,138.62,57.99,61,100,1.01,overcast clouds
269,Innisfail,AU,-17.53,146.03,89.01,29,0,3.62,clear sky
270,Ayan,RU,56.45,138.17,19.42,85,2,17.4,clear sky
271,Khrebtovaya,RU,56.7,104.25,25.54,94,100,14.83,light snow
272,Bardiyah,LY,31.76,25.09,67.51,71,80,13.47,broken clouds
273,Yichang,CN,30.71,111.28,57.0,74,100,2.55,overcast clouds
274,Roxana,CR,10.28,-83.75,66.2,100,75,5.82,mist
275,Malkangiri,IN,18.35,81.9,70.05,92,0,1.92,clear sky
276,Simpang,ID,-1.27,104.08,75.99,91,99,2.24,moderate rain
277,Namatanai,PG,-3.67,152.43,85.26,68,86,6.46,light rain
278,Mirador,BR,-6.37,-44.36,74.71,89,98,4.29,light rain
279,Lima,PE,-12.04,-77.03,64.4,77,90,13.87,overcast clouds
280,Shubarshi,KZ,48.59,57.19,43.29,49,100,8.57,overcast clouds
281,Aksu,CN,41.12,80.26,35.62,69,26,3.83,scattered clouds
282,Sinnamary,GF,5.38,-52.95,77.09,86,91,6.62,overcast clouds
283,Pevek,RU,69.7,170.31,28.11,96,100,26.44,overcast clouds
284,Kamenka,RU,51.32,42.77,42.01,95,90,8.32,overcast clouds
285,Kloulklubed,PW,7.04,134.26,78.8,94,90,6.93,overcast clouds
286,Chapais,CA,49.78,-74.85,42.8,87,90,5.82,overcast clouds
287,Vila Velha,BR,-20.33,-40.29,78.01,83,75,9.17,broken clouds
288,Chengde,CN,40.97,117.94,42.13,62,42,2.42,scattered clouds
